美国,#genre#
24小时免费电影,https://d1j2u714xk898n.cloudfront.net/scheduler/scheduleMaster/145.m3u8
30ABN Kids,https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8
30A电视,https://30a-tv.com/my999.m3u8
30A电视经典电影,https://30a-tv.com/feeds/pzaz/30atvmovies.m3u8
30A电视频道,https://30a-tv.com/feeds/masters/30atv.m3u8
30A海滩秀,https://30a-tv.com/beachy.m3u8
30A人行道,http://30a-tv.com/sidewalks.m3u8
30A我们热爱汽车,https://30a-tv.com/feeds/vidaa/cars.m3u8
30A音乐,http://30a-tv.com/music.m3u8
ABC 5 Des Moines IA,https://livevideo01.weareiowa.com/hls/live/2011593/newscasts/live.m3u8
ABC 5俄克拉荷马城OK,https://csm-e-eb.csm.tubi.video/csm/extlive/tubiprd01,Cloudfront-KOCO.m3u8
ABC 9曼彻斯特NH,https://csm-e-eb.csm.tubi.video/csm/extlive/tubiprd01,Cloudfront-WMUR.m3u8
ABN,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
ABN圣经电影频道,https://mediaserver.abnvideos.com/streams/abnbiblemovies.m3u8
ABN中国,https://mediaserver.abnvideos.com/streams/abnchina.m3u8
AccuWeather Now,https://cdn-ue1-prod.tsv2.amagi.tv/linear/amg00684-accuweather-accuweather-plex/playlist.m3u8
AFV家族,https://linear-12.frequency.stream/dist/plex/12/hls/master/playlist.m3u8
Alkarma电视表扬,https://58cc65c534c67.streamlock.net/alkarmatv.com/alkarmapa.smil/playlist.m3u8
AMC+,https://bcovlive-a.akamaihd.net/ba853de442c140b7b3dc020001597c0a/us-east-1/6245817279001/playlist.m3u8
AMC的故事,https://amc-amcpresents-1-us.xumo.wurl.tv/playlist.m3u8
AMC东部,http://fl5.moveonjoy.com/AMC_NETWORK/index.m3u8
BEK西部体育,https://cdn3.wowza.com/5/ZWQ1K2NYTmpFbGsr/BEK-WOWZA-1/smil:BEKPRIMEW.smil/playlist.m3u8
Bounce XL,https://scripps-bouncexl-1-us.xumo.wurl.tv/playlist.m3u8
Brat电视台,https://brat-samsung-us.amagi.tv/playlist.m3u8
CBN家族,https://bcovlive-a.akamaihd.net/r602a47f47fee47bb83239eb1b1e1ac83/us-east-1/734546207001/playlist.m3u8
CBSN波斯顿,https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
CBS新闻萨克拉门托,https://lineup.cbsivideo.com/playout/c1ed69db-6b71-4581-a937-a70ab4089f8a/index.m3u8
CCPS教育频道,https://watch.collierschools.com/EducationChannel/educhannel.stream/playlist.m3u8
CC-TV,https://cdn3.wowza.com/5/cHYzekYzM2kvTVFH/charlotte/G0055_009/playlist.m3u8
CFM电视98频道,https://cdn3.wowza.com/5/djRwZmQvTEJidmZD/cityftmyers/G2083_002/playlist.m3u8
CMTV,https://cdn3.wowza.com/5/UWpORHhLSEs5SkJs/costamesa/G0075_002/playlist.m3u8
Cozi TVhttps://amg00514-noseybaxterllc-realnosey-cineverse-tqbpv.amagi.tv/playlist/amg00514-noseybaxterllc-realnosey-cineverse/playlist.m3u8
CSat TV,https://5b622f07944df.streamlock.net/csat.tv/csat.smil/playlist.m3u8
EBS影院,https://rpn.bozztv.com/ebstv/ebscinema/index.m3u8
EWTN非洲/亚洲,https://cdn3.wowza.com/1/ZVBYYXFLLzE0c3NC/Qk1FMURC/hls/live/playlist.m3u8
EWTN加拿大,https://cdn3.wowza.com/1/YW5wSWZiRGd2eFlU/bGV0aVBq/hls/live/playlist.m3u8
EWTN欧洲,https://cdn3.wowza.com/1/T2NXeHF6UGlGbHY3/WFluRldQ/hls/live/playlist.m3u8
EWTN亚太区,https://cdn3.wowza.com/1/QmVNUVhTNTZSS3Uz/YWQ0aHpi/hls/live/playlist.m3u8
FITE 24/7,https://d3d85c7qkywguj.cloudfront.net/scheduler/scheduleMaster/263.m3u8
GCN美洲,http://liveen24-manminglobal3.ktcdn.co.kr/liveen24/gcnus_1300k.stream/playlist.m3u8
HSN西,https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn1uswest/master.m3u8
HTV 1休斯敦电视台https://stream.swagit.com/live-edge/houstontx/smil:hd-16x9-2-a/playlist.m3u8
HTV 2休斯敦电视台,https://stream.swagit.com/live-edge/houstontx/smil:hd-16x9-2-b/playlist.m3u8
I Heart 90s,https://iheart-iheart90s-1-us.xumo.wurl.tv/playlist.m3u8
Judge Nosey,https://scripps-bouncexl-1-us.xumo.wurl.tv/playlist.m3u8
KOKI DT1,https://d2kns0rg30a9ar.cloudfront.net/playlist/amg02104-imagicommcommun-kokibreaking-ono/playlist.m3u8
KXVA-DT1,https://livevideo01.myfoxzone.com/hls/live/2017381/elvs/live.m3u8
Laff,http://72.46.118.193/Laff/index.m3u8
LLBN His Lighthttps://brightstar-hislight-pull-secure.akamaized.net/brightstarhislight/stream.m3u8
LLBN阿拉伯语电视台,https://brightstar-arabic-pull-secure.akamaized.net/brightstararabic/stream.m3u8
LLBN电视台韩语,https://brightstar-korean-pull-secure.akamaized.net/brightstarkorean/stream.m3u8
LLBN南亚电视台,https://brightstar-southasia-pull-secure.akamaized.net/brightstarsouthasia/stream.m3u8
LLBN中文,https://brightstar-chinese-pull-secure.akamaized.net/brightstarchinese/stream.m3u8
MCPSS电视,https://5b200f5268ceb.streamlock.net/MCPSS/MCPSS247.smil/playlist.m3u8
MyTime电影网西班牙,https://appletree-mytimespain-rakuten.amagi.tv/playlist.m3u8
NBCLX,https://nbculocallive.akamaized.net/hls/live/2037096/lx/use1.m3u8
Newsmax电视,https://nmx1ota.akamaized.net/hls/live/2107010/Live_1/index.m3u8
NTD东方电视台,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01201-cinedigmenterta-soreal-cineverse/playlist.m3u8
OAN安可,https://a-cdn.herringnetwork.com/affiliate/oane/playlist.m3u8
